tweet_id	date	text	label	toponyms
1168199605328273408	2019-09-01	Can anybody help me find the owner of this bear before #HurricaneDorian? https://t.co/vsUvgnAptN	requests_or_needs	{}
1167507390960480257	2019-08-30	Could everyone please say a prayer for us in Florida? We’re in central Fl in direct path of Dorian. 2 daughters,an elderly  sister and 99 yr old mom depending on us for evacuation, shelter, food, water et al	requests_or_needs	{'Florida': 'State', 'Fl': 'State'}
1167509234415800323	2019-08-30	Remember the collapsed construction cranes in Miami &amp; Fort Lauderdale in 2017? Construction contractors are hoping to avoid a repeat as they prepare for #HurricaneDorian2019 https://t.co/oqnWNBz8FR https://t.co/9R3BGhrkC4	infrastructure_and_utilities_damage	{'Miami': 'City/town', 'Fort Lauderdale': 'City/town'}
1167510989501358083	2019-08-30	While preparing for Dorian please be mindful of your neighbors who may need help putting up shutters or getting to the store. Check on your eldery neighbors ask if they have enough medications, water, food etc... kindness is free Sprinkle it Everywhere ᾞ1ὉA	requests_or_needs	{}
1167515212456570881	2019-08-30	They are telling seniors in FLA to make sure they have enough food, gas, and meds for a couple of days bc of Dorian. How many of them wont have money until the 3rd when SS checks go out to do so? How many other people cant afford to get out or stock up either? #kNOpoverty	requests_or_needs	{}
1167525865405714435	2019-08-30	Karma aka Dorian is headed straight for MAGA-largo.. QUICK get a bunch of paper towels to clean the water up.. This is telling us that even the big man hates Trump ὠ2ὠ2ὠ2	requests_or_needs	{}
1167577409438306311	2019-08-30	And for the worried sort: I have water for a month weeks, food for two weeks, and dog food for a month. And cider for a week, and vodka for a week.  I’m basically ready for Dorian.	requests_or_needs	{}
1167578500024406016	2019-08-30	Prepare your companion animals for #HurricaneDorian:  1. Create a pet evac kit w food, water, bowls, leashes/harness, pet tags/vacc history, first aid kit, toys, etc  2. Have your pet microchipped  3. Secure pet-friendly accommodations before the storm  #HurricaneDorian2019 https://t.co/7fvLlzSYfz	requests_or_needs	{}
1167568655590334465	2019-08-30	@weatherchannel #hurricanequestions I live in Charleston SC and went shopping to get 5 days worth of water, food, batteries, pet food and propane. With the slowing of Dorian, is that enough or should I get more if it comes my way?	requests_or_needs	{'Charleston': 'City/town', 'SC': 'State'}
1167542649542328320	2019-08-30	@BillRatchet Water @dorian	requests_or_needs	{}
